Model,CPU_Time_ms,GPU_Time_ms,Speedup,CPU_Distance_U,GPU_Distance_U,Rel_Diff,Distance_Match
arm,1513.17,101.028,14.9777,0.00348171,0.00348171,0,PASS
bumpy,358.429,31.2262,11.4784,0.0816982,0.0816982,0,PASS
camel_b,407.071,40.0393,10.1667,1.13344,1.13327,.0001499858,PASS
elephant,1292.46,104.422,12.3772,0.597479,0.597037,.0007396536,PASS
